Floyd Little	158	170	Arizona	59	66	NYT__ENG__20080130.0192.LDC2009T13	/people/person/place_of_birth	27341657	Getting to this point, three days before the Super Bowl in Arizona, has been a rocky road for Coughlin, a former Syracuse running back who was teammates with Floyd Little and Larry Csonka.	n
Michael Strahan	113	128	New York	0	8	NYT__ENG__20080130.0224.LDC2009T13	/people/person/place_of_birth	27342414	New York leveled Brady only once in the regular-season finale, but Scarnecchia fully expects that Osi Umenyiora, Michael Strahan, and the boys will be gunning for him.	n
Mike Vrabel	113	124	Boynton Beach	21	34	NYT__ENG__20080130.0115.LDC2009T13	/people/person/place_of_birth	27343572	Wilfork, a native of Boynton Beach, has been hit four times this season by the NFL, with Harrison and linebacker Mike Vrabel drawing one fine each.	n
Rory Bolander	122	135	Orange County	169	182	NYT__ENG__20080802.0003.LDC2009T13	/people/deceased_person/place_of_death	27349143	In addition to his wife, who was his companion for 30 years and whom he married in 2005, he is survived by two daughters, Rory Bolander of Los Angeles and Noel Davis of Orange County, Calif.	n
Rocco Mediate	227	240	Lake Erie	38	47	NYT__ENG__20080802.0086.LDC2009T13	/people/person/place_of_birth	27349531	Essentially, what lies in wait across Lake Erie in Bloomfield Township, Mich., could prove to be this year's most challenging layout, exceeding the difficulty of the U.S. Open setup at Torrey Pines Golf Course, where Woods and Rocco Mediate tied at one- under-par 283, forcing the 19-hole playoff won by Woods in dramatic fashion.	n
Rocco Mediate	227	240	Bloomfield Township	51	70	NYT__ENG__20080802.0086.LDC2009T13	/people/person/place_of_birth	27349531	Essentially, what lies in wait across Lake Erie in Bloomfield Township, Mich., could prove to be this year's most challenging layout, exceeding the difficulty of the U.S. Open setup at Torrey Pines Golf Course, where Woods and Rocco Mediate tied at one- under-par 283, forcing the 19-hole playoff won by Woods in dramatic fashion.	n
Rocco Mediate	227	240	Mich.	72	77	NYT__ENG__20080802.0086.LDC2009T13	/people/person/place_of_birth	27349531	Essentially, what lies in wait across Lake Erie in Bloomfield Township, Mich., could prove to be this year's most challenging layout, exceeding the difficulty of the U.S. Open setup at Torrey Pines Golf Course, where Woods and Rocco Mediate tied at one- under-par 283, forcing the 19-hole playoff won by Woods in dramatic fashion.	n
Gary Sheffield	90	104	Tampa Bay	26	35	NYT__ENG__20080802.0018.LDC2009T13	/people/person/place_of_birth	27352996	Seven Tigers are from the Tampa Bay area  Kenny Rogers (Plant City), Ryan Raburn (Tampa), Gary Sheffield (Tampa) and Matt Joyce (Riverview)  or have been with the Rays  Bobby Seay, Casey Fossum and pitching coach Chuck Hernandez, who is also from Tampa Upton and Crawford will sign autographs from 4:35 to 5:05 at the first-base line.	n
Mike Huckabee	62	75	Arkansas	116	124	NYT__ENG__20080130.0179.LDC2009T13	/people/person/place_of_birth	27344307	And, no, the fourth-place finish that marginalized Republican Mike Huckabee wasn't jaw-dropping, either; the former Arkansas governor seemed to peak in Iowa.	n
former President Bill Clinton	47	76	Denver	33	39	NYT__ENG__20080130.0247.LDC2009T13	/people/person/place_of_birth	27345834	At an arena at the University of Denver, where former President Bill Clinton was scheduled to appear Wednesday evening on behalf of Hillary Clinton, Obama asked Democrats to avoid choosing a nominee who galvanized Republicans.	n
Clinton	140	147	Denver	33	39	NYT__ENG__20080130.0247.LDC2009T13	/people/deceased_person/place_of_death	27345834	At an arena at the University of Denver, where former President Bill Clinton was scheduled to appear Wednesday evening on behalf of Hillary Clinton, Obama asked Democrats to avoid choosing a nominee who galvanized Republicans.	n
Hillary Clinton	132	147	Denver	33	39	NYT__ENG__20080130.0247.LDC2009T13	/people/deceased_person/place_of_death	27345834	At an arena at the University of Denver, where former President Bill Clinton was scheduled to appear Wednesday evening on behalf of Hillary Clinton, Obama asked Democrats to avoid choosing a nominee who galvanized Republicans.	n
Barack Obama	165	177	North Carolina	87	101	NYT__ENG__20080130.0198.LDC2009T13	/people/person/place_of_birth	27345922	That is especially true on the Democratic side, as the decision by Edwards, the former North Carolina senator and South Carolina native, could arguably benefit both Barack Obama and Hillary Clinton, the remaining candidates still in the race.	n
Georgian Interior Ministry	145	171	Georgian	145	153	NYT__ENG__20080802.0050.LDC2009T13	/people/person/nationality	27351908	"We are moving toward very dangerous ground, toward the possibility of doing something that every side wants to avoid," said Shota Utiashvili, a Georgian Interior Ministry official.	n
Eduardo Romero	52	66	Colorado	0	8	NYT__ENG__20080802.0118.LDC2009T13	/people/person/place_of_birth	27352656	Colorado Springs -- Here is how focused and precise Eduardo Romero has his golf game entering Sunday's final round of the U.S. Senior Open:	n
Eduardo Romero	52	66	Colorado Springs	0	16	NYT__ENG__20080802.0118.LDC2009T13	/people/person/place_of_birth	27352656	Colorado Springs -- Here is how focused and precise Eduardo Romero has his golf game entering Sunday's final round of the U.S. Senior Open:	n
Michael Powell	193	207	FLORIDA	20	27	NYT__ENG__20080130.0029.LDC2009T13	/people/person/nationality	1	RESURGENT MCCAIN IS FLORIDA VICTOR; GIULIANI FAR BACK (SUBS to change emphasis of lede, and updates number of districts reporting; fine-tuning) John M. Broder contributed reporting from Miami; Michael Powell from Orlando, Fla.; and Michael Luo from St. Petersburg, Fla.	n
Michael Luo	232	243	FLORIDA	20	27	NYT__ENG__20080130.0029.LDC2009T13	/people/person/nationality	1	RESURGENT MCCAIN IS FLORIDA VICTOR; GIULIANI FAR BACK (SUBS to change emphasis of lede, and updates number of districts reporting; fine-tuning) John M. Broder contributed reporting from Miami; Michael Powell from Orlando, Fla.; and Michael Luo from St. Petersburg, Fla.	n
Giustra	44	51	Kurzin	29	35	NYT__ENG__20080130.0216.LDC2009T13	/people/person/children	88	But Dzhakishev, analysts and Kurzin, one of Giustra's own investors, said that approval was necessary.	n
Roger King	3	13	Phil McGraw	106	117	NYT__ENG__20080130.0078.LDC2009T13	/people/person/parents	55	A: Roger King was a television executive who helped make national stars of Oprah Winfrey, Alex Trebek and Phil McGraw.	n
Garrett Oliver	59	73	Brooklyn	48	56	NYT__ENG__20080130.0062.LDC2009T13	/people/person/nationality	18	Since then, the likes of Anchor's Fritz Maytag, Brooklyn's Garrett Oliver and Sierra Nevada's Steve Dressler have made the pilgrimage to eat and drink and talk with beer fans.	n
Tim Zagat	82	91	Luger	135	140	NYT__ENG__20080802.0025.LDC2009T13	/people/person/place_of_birth	12	"I've heard people complain, but they don't care: They're full most every night," Tim Zagat, owner of Zagat restaurant guides, said of Luger.	n
McCain	31	37	South Carolina	63	77	NYT__ENG__20080802.0077.LDC2009T13	/people/person/nationality	41	This was a decidedly different McCain from the one who said in South Carolina last year that it was important for leaders to communicate with bloggers, "as painful as that might be."	n
Annie Bell Henderson	91	111	Palmer	131	137	NYT__ENG__20080802.0076.LDC2009T13	/people/person/parents	28	Henderson routinely dropped by the home, where he had raised seven children with his wife, Annie Bell Henderson, who died in 2005, Palmer said.	n
Westwood	4	12	United States	37	50	NYT__ENG__20080802.0110.LDC2009T13	/people/person/nationality	17	And Westwood, who has not won in the United States since his only victory here, in the 1998 Freeport-McDermott Classic in New Orleans?	n
Obama	199	204	Iraq	228	232	NYT__ENG__20080802.0128.LDC2009T13	/people/person/nationality	23	What's more, Crist's appearance on MSNBC last week raised doubts about his attack-dog skills, when three different times Crist declined to tell Joe Scarborough he agreed with McCain's assertion that Obama was willing to lose in Iraq in order to win the election.	n
president of the European Parliament	92	128	Condoleezza Rice	149	165	NYT__ENG__20080130.0244.LDC2009T13	/organization/organization/founders	10	The letter, prompted by Musharraf's recent visit to European capitals, was addressed to the president of the European Parliament, Secretary of State Condoleezza Rice, President Nicolas Sarkozy of France, Prime Minister Gordon Brown of Britain and the head of the World Economic Forum.	n
Kalenjin	23	31	Kenya	53	58	NYT__ENG__20080130.0154.LDC2009T13	/people/person/ethnicity	8	Ethnic groups like the Kalenjin, who were supporting Kenya's top opposition leader, Raila Odinga, burned down homes and hacked to death Kikuyus, Kibaki's ethnic group.	n
Republicans	50	61	Sen.	86	90	NYT__ENG__20080130.0002.LDC2009T13	/organization/organization/founders	12	While most of the attention in Florida was on the Republicans, Democratic voters gave Sen. Hillary Rodham Clinton a victory in a virtually uncontested race.	n
first responders	169	185	police	42	48	NYT__ENG__20080130.0143.LDC2009T13	/people/person/nationality	52	Though Giuliani did win backing from some police and firefighter organizations, others spent months making the case that Giuliani, as mayor, did not do all he could for first responders who worked at the 9/11 attack scene.	n
first responders	169	185	firefighter	53	64	NYT__ENG__20080130.0143.LDC2009T13	/people/person/nationality	52	Though Giuliani did win backing from some police and firefighter organizations, others spent months making the case that Giuliani, as mayor, did not do all he could for first responders who worked at the 9/11 attack scene.	n
Stephen Pinker	70	84	philosophers	27	39	NYT__ENG__20080130.0150.LDC2009T13	/people/person/ethnicity	57	A number of psychologists, philosophers and biologists (most recently Stephen Pinker, in The New York Times Magazine) have similarly argued that repugnance is morality's early warning system, an alarm bell that warns that a subject deserves moral scrutiny.	n
cream	248	253	milk	211	215	NYT__ENG__20080130.0146.LDC2009T13	/people/person/nationality	111	Cheesy spinach and sausage dip 1 pound bulk sweet or hot sausage 1 cup chopped onion 1 cup chopped green peppers 5 cloves garlic, minced 4 (8-ounce) packages cream cheese 3 cups shredded Parmesan cheese 1/2 cup milk 1/2 cup mayonnaise 1/2 cup sour cream 4 cups raw spinach, well cleaned 2/3 cups banana peppers, chopped For serving: toasted bread, bagel chps or wheat crackers	n
sour cream	243	253	milk	211	215	NYT__ENG__20080130.0146.LDC2009T13	/people/person/nationality	111	Cheesy spinach and sausage dip 1 pound bulk sweet or hot sausage 1 cup chopped onion 1 cup chopped green peppers 5 cloves garlic, minced 4 (8-ounce) packages cream cheese 3 cups shredded Parmesan cheese 1/2 cup milk 1/2 cup mayonnaise 1/2 cup sour cream 4 cups raw spinach, well cleaned 2/3 cups banana peppers, chopped For serving: toasted bread, bagel chps or wheat crackers	n
Rodney Harrison	50	65	San Diego	95	104	NYT__ENG__20080130.0005.LDC2009T13	/people/person/place_of_birth	54	What he has done, speaks for itself," said safety Rodney Harrison, who has played with Seau in San Diego and New England.	n
Republicans	50	61	Sen.	86	90	NYT__ENG__20080130.0029.LDC2009T13	/organization/organization/founders	7	While most of the attention in Florida was on the Republicans, Democratic voters gave Sen. Hillary Rodham Clinton a victory in a virtually uncontested race.	n
